Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
11-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
12-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
12-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
13-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
13-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
14-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
14-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
15-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
15-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
16-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
16-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
17-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
17-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
