Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
8/28/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/28/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/28/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/29/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/29/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/29/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/30/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/30/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/30/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/31/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/31/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/31/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/1/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/1/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
9/1/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/2/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/2/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
9/2/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/3/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/3/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
9/3/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/4/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/4/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
9/4/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/5/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/5/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
9/5/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
9/6/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
9/6/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
