Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,75,90,82.5
6/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,60,50
6/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,50,40
6/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,75,90,82.5
6/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,60,50
6/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,50,40
6/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,75,85,80
6/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,40,32
6/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,70,80,75
6/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,70,80,75
6/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,70,80,75
6/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/20/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/20/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/20/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/21/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/21/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/21/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/22/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/22/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/22/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/23/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/23/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/23/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/24/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/24/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/24/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/25/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/25/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/25/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/26/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/26/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/26/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/27/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/27/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/27/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/28/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/28/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/28/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/29/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/29/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/29/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/30/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/30/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/30/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/31/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
5/31/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/31/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/1/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/1/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
6/1/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/2/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/2/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
6/2/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/3/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/3/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/3/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/4/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/4/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/4/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/5/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,110,100
6/5/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
6/5/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/6/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/6/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/6/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
